Name,Code,Link
Barboload,WL(BQAAAAC4B4A7OCLAgCq2s1YOBwAAQAA=),
Blaze Of Glory,WL(BQAAAAB+bIA7+yHAgDKWtdXiiAMAACAA),
Bradluck,WL(BQAAAAAYE4C7ECLAgDKk01oggAMAACAA),
Championship Ring,WL(BQAAAAD9/YC7JCoAgTKAhFBGrpoAAAAI),
Class Ring,WL(BQAAAAClBoA7JyoAgTKAhESGJqIAAAAI),
Daemon Blight,WL(BQAAAAA/wIC72CsAgTKA7Pjw+vIAAAAI),
Driftwood,WL(BQAAAADtpoA7GykAgSJ6jq5+AAAACA==),
Elder Wyvern's Ring,WL(BQAAAAAoDIC7BSoAgSJ6ikh+AAAACA==),
Fealty Oath,WL(BQAAAADHZYC7HysAgSqAtMbCsgAAAAg=),
Finger Ward,WL(BQAAAACjS4A7JSoAgTKAdCQQNJwAAAAI),
Fingertip Pulse Oximeter,WL(BQAAAADnNIC7IioAgSqAeCYkkgAAAAg=),
Frenzied Wrath,WL(BQAAAACseYC7+yHAgCqYMdcCBwAAQAA=),
Harbinger,WL(BQAAAABz0IC7HiLAgDKsWFsrhwMAACAA),
Harmonious Dingledangle,WL(BQAAAADqMIA76CLAgDK4tdZCCQMAACAA),
Insight Ring,WL(BQAAAADeI4C7EioAgSJ6kKxEAAAACA==),
Precious Jamstone,WL(BQAAAACL74A7KSoAgTKAdBRQXKgAAAAI),
Joint Training,WL(BQAAAACF5YA7DyLAgDKiMpbygwMAACAA),
Lethal Catch,WL(BQAAAABCNoA7IyoAgTKAeCxmEJQAAAAI),
Mood Ring,WL(BQAAAABHa4C7JioAgTKAeFpIfqAAAAAI),
Overflow Bloodbag,WL(BQAAAABxI4A7/yHAgDKcs9URiQMAACAA),
Promise Ring,WL(BQAAAADGnoC7JyoAgTKAhBBYEJgAAAAI),
Rivote's Amulet,WL(BQAAAAABSIA7BCLAgDKgNVcgAAMAACAA),
Sacrificial Skeep,WL(BQAAAAAwJoA7/CHAgDKaMlaDcQMAACAA),
Sharklescent,WL(BQAAAAADAIC7DyoAgSJ6jK4OAAAACA==),
Sharksbane,WL(BQAAAADv5IC7KCoAgSqAhBRcpgAAAAg=),
Shell Casing Ring,WL(BQAAAAA8TYA7JioAgTKAdCasJKQAAAAI),
Silicone Ring,WL(BQAAAAAAyIC7JSoAgSqAeCYkngAAAAg=),
Slip 'n' Stun,WL(BQAAAABBeYA7ISLAgDKyNlcjhwMAACAA),
The Protagonizer,WL(BQAAAADy2oA7ZCPAgDK6stYnhwMAACAA),
Theurge,WL(BQAAAAAtA4A7HyLAgDKuNRfyiAMAACAA),
Thumb Cuffs,WL(BQAAAAD2fYA7JCoAgTKAdCZaRpYAAAAI),
Universal Soldier,WL(BQAAAAAXIYC7GyLAgDKqVJoyiQMAACAA),
Vorcanar's Cog,WL(BQAAAACVB4C7AyLAgCKesxYMAACAAA==),
Amalgam,WL(BQAAAADwcIC7Kwbhh5oEEJAeCze44Ujp5PtEPvmc6ymjXlbSSjMYCAAAAAAC),
Armor That Sucks,WL(BQAAAADHGYA77wXBh1oCCDC3DJ8ZLptsEBtjBhgIAAAAAAI=),
Blank Slate,WL(BQAAAABnjoC7lgbhhzIEQDPNOcfUDAYCAAAAgAA=),
Brutal Stampede,WL(BQAAAAAiuYC77QcBiJoM2JOeCgGtYVdeiUXV1ehcjc5WiBQVUTMYCAAAAAAC),
Calamity,WL(BQAAAAB0soA7AQXBh4oCCHAeDHPLobVruOGGG264IfFDGDWDgQAAAAAgAA==),
Cape of Tides,WL(BQAAAAB/WIC7hwbBh4oMKJAeC3u7IUyp6qsvv/nqY7GcdDSDgQAAAAAgAA==),
Claw,WL(BQAAAAD1tYC7AQUBiIoCGHAeDHXLYUOnsmMlO/DA2wmjlDSDgQAAAAAgAA==),
Corrupted Platemail,WL(BQAAAADmIYC7KgbBh4oCCJCeCnOrwchpnntuG2y2ERHEljSDgQAAAAAgAA==),
Deathless Mantle,WL(BQAAAAD0DIA7Kwbhh4oEIJCeCnmroUjlqhOlOlFEgZHFkzSDgQAAAAAgAA==),
Diamond Gauntlets,WL(BQAAAABeYoA7AgXBh4oCCJCeCnOroTYXp3kOm+ew2eYiFjWDgYBoAAAgAA==),
Head of the Snake,WL(BQAAAACW+4C7AgXhh4oMMJCeCn2rATZPWJFFFllYIYkSFjWDgQAAAAAgAA==),
Miasmic Mail,WL(BQAAAADgyIC7Wgbhh4oEEJAeC3e7gUnpnPvkE+ecEyjGETWDgQAAAAAgAA==),
Mosquito's Mantle,WL(BQAAAACa24C7bgcBiIoM2JOeCgGtIU9UXY3O1ehshUhRETWDgQAAAAAgAA==),
Pandemecium,WL(BQAAAABiJIA7AwUBiIoEIHCeC3nDIbb09lPvPfX224ecETWDgQAAAAAgAA==),
Selective Amnesia,WL(BQAAAADqFIA79wQBiIoCGJCeCnWrIbOlvOvOu+6uO2nFDzWDgQAAAAAgAA==),
Smart Armor,WL(BQAAAAD9hYC7AwXBh4oMMFCeCX2jQTZOXGmlFVe6KQaiRjSDgQAAAAAgAA==),
Steel Gauntlets,WL(BQAAAABYgIA7GQXBh4oMEFAeC3e7ATfp5HNOPvk+0WnFEXWAgQAAAAAgAA==),
Tyrant's Truth,WL(BQAAAADJOIA7YwYBiIoEIFAeCnmzIVfuRBHlyfie1EkgETWDgQAAAAAgAA==),
Warped Paradigm,WL(BQAAAADlKIA7LAbhh4oMKFCeCXujAcmnxhkHHPrGycXKdTSDgQAAAAAgAA==),
Arcane Bolt,WL(BQAAAABLCYC7Ey2AgUICGp+fn3M8KgEAAAg=),
Barrelmaker,WL(BQAAAACRNIA7/CyggUIECJ+fn3M8LAEAAAg=),
Boltlash,WL(BQAAAAD/xIC7Yi7AgUIGbp+fn3M8KAEAAAg=),
Buffmeister,WL(BQAAAAC8XIC7/CzggVIUCqepn5+fczwuAQAACA==),
Curse of Malice,WL(BQAAAABHXYA7+i+AgUICxp+fn3M8KAEAAAg=),
Dazzler,WL(BQAAAAA7xIC7+CyAgUIC/p6fn0c8MAEAAAg=),
Dynamo,WL(BQAAAAADGIA7GC6ggUIEWJ+fnwk8KAEAAAg=),
Frostburn,WL(BQAAAAB9DoC7IS7ggUoUdFKfn59DOCYBAAAI),
Frozen Orb,WL(BQAAAADVFIA7+SyAgUICAJ+fn0M8MgEAAAg=),
Garlic Breath,WL(BQAAAADbw4C7ZS7ggUIUcJWVlUU8KAEAAAg=),
Gelatinous Cube,WL(BQAAAACbHIC7+iyAgUICBp+fn0U8NAEAAAg=),
Glacial Cascade,WL(BQAAAAA/DoA7/yyAgUICFJ+fn0M8NgEAAAg=),
Great Wake,WL(BQAAAAApyYC7HC7ggUoUSF6fn59zOCYBAAAI),
Greatest Spell Ever,WL(BQAAAABNFoA7/S2AgUoCEk6fn58JOCYBAAAI),
Hellfire,WL(BQAAAADxRYC7/C2AgUoCeEyfn58JOCYBAAAI),
Holey Spell-nade,WL(BQAAAAAEJoA7AC7AgUoGDmSfn58JOCYBAAAI),
Inflammation,WL(BQAAAACIS4C7/SzAgUIGDp+fnwk8OgEAAAg=),
Laserhand,WL(BQAAAABLyIC7+SyggUIEAp+fnwk8PAEAAAg=),
Lovestruck Beau,WL(BQAAAADQKIA7ZS+AgUICrp+fn3M8KAEAAAg=),
Marshmallow,WL(BQAAAADkoIA7+iyAgUICBJ+fnwk8QAEAAAg=),
Rainbolt,WL(BQAAAACAhoC7GC7AgUIGVp+fn3M8KAEAAAg=),
Reviver,WL(BQAAAADQT4A7/SyAgUICDJ+fn0c8QgEAAAg=),
Sawblades,WL(BQAAAACteoC7Fi3AgUIGHp+fn0U8RAEAAAg=),
Skullantir,WL(BQAAAAAHoIC7Gy2AgSoUIHM8PgEAAAg=),
Smithy's Ire,WL(BQAAAADrToC72i+ggUIEwp+fnwk8KAEAAAg=),
Threads of Fate,WL(BQAAAAB+44C7/yyggUIEFp+fn3M8RgEAAAg=),
Tidebreaker,WL(BQAAAACx+oA7Hi7ggUIUYJ+fn0M8KAEAAAg=),
Time Skip,WL(BQAAAAAZAIC79yzAgUIG/J6fn3M8SAEAAAg=),
Twister,WL(BQAAAAAmf4C7BC2AgUICGJ+fn7k9SgEAAAg=),
Wicked Gossip,WL(BQAAAAAGwoA7ui+AgUICwJ+fn0U8KAEAAAg=),
Afterburner,WL(BQAAAADAP4A78mFAgToEtPhIUnwYAQAACA==),
Ancient Deity,WL(BQAAAAB77YC78mEggToGuvpIUhANAQAACA==),
Bad Egg,WL(BQAAAABhtIA782FAgToEtPxIUoAaAQAACA==),
Body Rune,WL(BQAAAABlM4A7+2BggDICwNx8Xt4AAAAI),
Bronco Buster,WL(BQAAAABdn4C782EggTIGuv5IgB4BAAAI),
Counterfeint,WL(BQAAAAAbkoC7I2JggDoCwDhTZoA6AQAACA==),
Crying Apple,WL(BQAAAAB9s4A7BmJggDICkC5ReIgAAAAI),
Cursed Wit,WL(BQAAAADsJIA75qlRgTIEtPRIePYAAAAI),
Dusa's Visage,WL(BQAAAABvuIA7GmIggSoGnjaBiAAAAAg=),
Full Battery,WL(BQAAAACAxIA7FWEggTIGuuxIgu4AAAAI),
Hammer and Anvil,WL(BQAAAAALU4A7FGEggSoGuuRS6AAAAAg=),
High Tolerance,WL(BQAAAAAFt4C7BmIggTIGnjBLfpgAAAAI),
Kinetic Friction,WL(BQAAAAAhIYA79GEggTIGugBJgCABAAAI),
Last Gasp,WL(BQAAAADwVoA79WFggDoCwARJUoAiAQAACA==),
Lich's Augur,WL(BQAAAADoj4A7T2JggDoCwDxJUoA+AQAACA==),
Maced Wardu,WL(BQAAAAAvaYC79WEggToGugZJUn4kAQAACA==),
Master Rune,WL(BQAAAACRtoC7FGFggDICwOZSeuoAAAAI),
Mind Rune,WL(BQAAAAB3YoC7+2BggDICwOBSeuIAAAAI),
Rivote's Shield,WL(BQAAAABeGoA7B2IggToGnjJdXH6YAAAACA==),
Shamwai,WL(BQAAAACwLIA79mFggDoCwAhpUoAmAQAACA==),
Spirit Rune,WL(BQAAAAAFkIA7+GBggDoCwNhISILaAAAACA==),
Static Charge,WL(BQAAAADkJoC79GEggTIGugJJgBwBAAAI),
Sweet Dreams,WL(BQAAAAA2OIA7EGJAgToErDRTUoCmAAAACA==),
Transistor,WL(BQAAAAB/hoC79mEggTIGugpJgCgBAAAI),
Trick Mirror,WL(BQAAAADXr4A792FggDoCwCpTUn4sAQAACA==),
Undead Pact,WL(BQAAAAC2YIA7FmFAgTIEtPBIePIAAAAI),
Anchor,WL(BQAAAABc2YA7CYpAgmqgCHcabRPNMrxyQAgAAAAAAIAGBAAC),
Antique Greatbow,WL(BQAAAAADL4A77eUggYIcD0hPt+tgRiXTCVbx0QAhAAAAAADA/x8ACA==),
Apex,WL(BQAAAADFuIC77JmAgHImO1rN1gGNBoaiLjgEhAAAAAAAAGQMACAA),
AUTOMAGIC.exe,WL(BQAAAAB1jYA7661xgoIcD+SC0YBIQBzPqpXMNAEhAAAAAAAAGQMACA==),
Banshee Claw,WL(BQAAAACN4IC7GhlhgzrK6SyQjwYAACAA),
Birthright,WL(BQAAAABosIC7CIJggnocDyZQ+JGQOiuXjHZJAUIAAAAAAAAyIAAQAA==),
Blazing Volley,WL(BQAAAACe3YC7McUggYIcD0gEajwiMy2RSZOiUAEhAAAAAAAAGQMACA==),
Blue Cake,WL(BQAAAACd8YA76oWggIogqoqkaVYWJkRtj9xiQAgAAAAAAEAGBAAC),
Body Spray,WL(BQAAAAByPoC7BAqBgzJKpzHaDwAAgAA=),
Boniface's Soul,WL(BQAAAACJ84A7HKGAglocKJoRZby+igaEAAAAAAAAZQwAIAA=),
Borea's Breath,WL(BQAAAAAsoYA7+d2AgmIcD0jEqzitNJzJFxACAAAAAACUAQCAAA==),
Butterboom,WL(BQAAAACGwIC7QyJWgnoklgml4iLuep1WiLQqAkIAAAAAAAAzBgAQAA==),
Cannonballer,WL(BQAAAAAeXoC74olAglogyTYQjSNV8AaEAAAAAAAAZgwAIAA=),
Carrouser,WL(BQAAAAByiIA77ukggpIcD0jER6vZcLcTKuV6YX5BQAgAAAAAAGDGAAAC),
Catatumbo,WL(BQAAAAAKjoC7Lp0ggmoekIjEp9vxKhng8AcIAQAAAAAAzBgAQAA=),
Circuitous Gyre,WL(BQAAAADup4A7+K0ggXIaD8hPsWBcNp8SRRUEhAAAAAAAAGYMACAA),
Crossblade,WL(BQAAAAB9W4C75LUggnIcEOSO11NWNitYeJQFhAAAAAAAAGQMACAA),
Crossbolt Generator,WL(BQAAAAD5nYC74XUggmoaKx4up3sEKSNUjwgIAQAAAAAAyBgAQAA=),
Diamondguard Sword,WL(BQAAAABhkIA7ShXhgDJQLZfjNQIAACAA),
Die-Vergent,WL(BQAAAADGTIC7Gb6AgloajgdE99tkeJQdIAQAAAAAABgDAgAB),
Donkey,WL(BQAAAAAdj4C7531ggnIoFculuyh9ti4ZxvsFhAAAAAAAAGUMACAA),
Dreadlord's Finest,WL(BQAAAAD494A7CH5ggmooFcslLCZ9Ui7ZBg0IAQAAAAAAlEEAQAA=),
Dry'l's Fury,WL(BQAAAADo8oA77PFggoocD0hEiEgoPpnRitUaUo6AEAAAAAAAwIwBAAQ=),
Dry'l's Legacy,WL(BQAAAAAOV4C7CcYggXIckMiU0bisRqWNigIChAAAAAAAAGhAACAA),
Echoing Phoenix,WL(BQAAAABVnYC7E3Yggmoaqx8up3sEKSNUDwgIAQAAAAAAzIAAQAA=),
Eight Piece,WL(BQAAAABXtoC7B26ggHIc6Yl62ka9jTz1HxACAAAAAACcAQGAAA==),
Envy,WL(BQAAAADQP4C76ekggoocD0ikh0goNhNSyeR6YYSAEAAAAAAAoIwBAAQ=),
Fatebreaker,WL(BQAAAABJNYC75bFxgzrIiSk2kQYAACAA),
Fragment Rain,WL(BQAAAADVaYA7It2AgmIcD0iEqzipNJxJFxACAAAAAACUAQCAAA==),
Frostbite,WL(BQAAAACc24A7CgqBgzrOEIoK9wMAACAA),
Frying Pan,WL(BQAAAACSL4A7SQ2hgzpMyoEObgQAACAA),
Gluttony,WL(BQAAAACqboC746GAglocKKoRhRHNKgeEAAAAAAAAZQwAIAA=),
Goblin Pickaxe,WL(BQAAAAD80oA7LQmBgzpGiXmOTQQAACAA),
Goblin Repellant,WL(BQAAAAD6yYA7HZaggGqmi6ryeE6Jr8R0QAgAAAAAAIAMAgAC),
Goblin's Bane,WL(BQAAAACHUIA7HBbhgDJylYTjFwIAACAA),
Greed Warden,WL(BQAAAACZS4C7Yw+hg0JoimkObowBAAAI),
Hawkins' Wrath,WL(BQAAAACalIC7LLFAglIaD5piobkIJTVACAAAAAAAUMYAAAI=),
Headcanon,WL(BQAAAACuTYA7G6pAgmoklgmlIiQsOqHSwQgIAQAAAAAAmEEAQAA=),
Heckwader,WL(BQAAAACw7IA7E8KAgIockMiDi0hMVC2SJxSzeDOAEAAAAAAAgAwIAAQ=),
Ironsides,WL(BQAAAADXx4C7HeoggoIcD0hkqEhwiCdUSrXCFAEhAAAAAABAMggACA==),
Kao Khan,WL(BQAAAADIgYA7M+YggYocDwhRxzNiSKiU6lUpAmWAEAAAAAAAoIwBAAQ=),
Last Rites,WL(BQAAAAA6pYA7IK4ggWoaD4jwkLhwPCUJaggIAQAAAAAAmEEAQAA=),
LeChance's Last Leg,WL(BQAAAACzIoA7GgGvgzpICooODgYAACAA),
Lil K's Bread Slicer,WL(BQAAAABtXYA74n1ggoooFcuFm7Ve07jRB/uSbcaAEAAAAAAAYIwBAAQ=),
Liquid Cooling,WL(BQAAAACL/YA745WggIKmi6osGook1OhYMsMBIQAAAAAAABkDAAg=),
Live Wire,WL(BQAAAACUaYA7McGAgHIcD0hEK2GJOqAYZpsBhAAAAAAAAGQMACAA),
Love Leopard,WL(BQAAAADiUIA7IoaggHKoCoqm+nFAk+XIGxACAAAAAAAggwCAAA==),
Mage Staff,WL(BQAAAADw4IA7LhnhgDrGaWULTAQAACAA),
Manual Transmission,WL(BQAAAAAn0IA7ORppgnoolUt5wWicRx/zS7ZpAUIAAAAAAIAyIAAQAA==),
Masterwork Handbow,WL(BQAAAACc74C76J0ggoIeE0hEEtTteBUNTjQaCgEhAAAAAABAGQMACA==),
Merlin's Razor,WL(BQAAAACqJ4A72bcggmockTKvV9msYOgSmQoIAQAAAAAAyBgAQAA=),
Message,WL(BQAAAADNaIC76qlAgoIklgml4voRFp1WyLS6DAEhAAAAAACAGQMACA==),
Metal Lute,WL(BQAAAABFBIC7Cg6hgxrYOwQAACAA),
Mistrial,WL(BQAAAABm5YC7H3KAgHoKBs3UcsFsSisW4xGiAkIAAAAAAIBkEAAQAA==),
Moleman,WL(BQAAAACIsoA7EY5ggoKiSaLqB3K2lBRX74IBIQAAAAAAwBkQAAg=),
Negotiator,WL(BQAAAADI+IC7F7JAgloajofugMhwRrggIAQAAAAAAEAGAQAB),
Oil and Spice,WL(BQAAAAAdPYA7iMKAgHIcD0jkK2GJOqCYBSwGhAAAAAAAAGNAACAA),
Paladin's Sword,WL(BQAAAAAFz4C7/xlhg0pQimmKGw9pAAAAAg==),
Peg Leg,WL(BQAAAAACeYC7SVGqgzpOCooObgQAACAA),
Perceiver,WL(BQAAAADByoA76JmAgGomt4bj4QGpRgPDhQgIAQAAAAAAzBgAQAA=),
Petty Tantrum,WL(BQAAAADsaoA7Yw+hgzJs5zm4EQAAgAA=),
Pincushion,WL(BQAAAAAHuIC73w2hgzpQ6nEObgQAACAA),
Pookie's Chew Toy,WL(BQAAAACD6oC7Gp4ggmoeE0hEUkQkFEbN5ggIAQAAAAAAkEEAQAA=),
Portable Sawmill,WL(BQAAAACw34C77vFggoocD0iE+AN+MqEVqyXbVZCAEAAAAAAAgIwBAAQ=),
Quad Bow,WL(BQAAAABaFYA753GAgHIKhozmeDApjLLl54kEhAAAAAAAAGYMACAA),
Queen's Cry,WL(BQAAAAAp7oA76YFggoIcDyMwKIRIQBzPrTW7HAEhAAAAAACAGQMACA==),
Rage Handle,WL(BQAAAADkIYC77wuBg0JqyXmOTWQBAAAI),
Ragnarok,WL(BQAAAADQ44A74BVBgjpSFETC0RkBAAAQAA==),
Red Hellion,WL(BQAAAAC2OIA75K0ggXIajgekVzBYNqASReUDhAAAAAAAAGQMACAA),
Reign of Arrows,WL(BQAAAABAiYC7Lx0pgmockCAiwZ1sVjDs6AgIAQAAAAAAyhgAQAA=),
Rogue Imp,WL(BQAAAACXm4A74bWxgGocCYruhWnUDqtGQAgAAAAAAJAGBAAC),
Ruby's Spite,WL(BQAAAADEnYC795mAgGomPFrN5vkAB4ZLsAcIAQAAAAAAyIAAQAA=),
Salt and Battery,WL(BQAAAADDmIC7Tg6hgzpkKoIObgQAACAA),
Shadowfire,WL(BQAAAABc2IC7+d2AgmocD0gEnFyeVBpOJQwIAQAAAAAAygAAQAA=),
Skeep Prod,WL(BQAAAAB/qYC76+GAgKocD0jEOCQWmyOSRwKLyWYajPMICAEAAAAAAMgYAEAA),
Slammin' Salmon,WL(BQAAAABYDIC7LU2qgzrKK1UPbgQAACAA),
Sly Trivern,WL(BQAAAAAhe4C77ieWgKKi4LAYWjAcTiOSZwKLyWZW7hEQAgAAAAAAlDEAgAA=),
Snake Stick,WL(BQAAAAB+a4A73wmBgzrIMIKOTQQAACAA),
Spellblade,WL(BQAAAABUN4C74BXhgDpUlBXL0RkBAAAQAA==),
Stab-O-Matic,WL(BQAAAADXbYC7ZK8ggXIajgeEqFgwLBpjSVUEhAAAAAAAAGhAACAA),
Storm Surge,WL(BQAAAADknYA7Wxphgypqq9hEAAAAAg==),
Sworderang,WL(BQAAAAB7HIC7+L2AgloajgfktsmQUJQRIAQAAAAAACADAgAB),
Swordsplosion,WL(BQAAAAAT74C7SrFAgloaD1vP9+NZbpMcIAQAAAAAAChjAAAB),
Throwable Hole,WL(BQAAAABGjYC7HN2AglIcj4j2pNJwKltACAAAAAAAUMYAAAI=),
Thunder Anima,WL(BQAAAAAlaoC75m2ggGIcCYpwplE77MoBIQAAAAAAABkDAAg=),
Tidesorrow,WL(BQAAAAA4toA7BRphgypSq1BDAAAAAg==),
Tootherator,WL(BQAAAAASBYC7C+YggYocD8hQt+NtMCRUSgVTLmmAEAAAAAAA4BgEAAQ=),
Twin Soul,WL(BQAAAADfboA7EhbhgEpwlITCIaONfAAAAAQ=),
Twisted Delugeon,WL(BQAAAAAZPIA7GY5ggnoiaaLshWm4kxTvDgaEAAAAAAAAZ0AAIAA=),
Vengeance,WL(BQAAAAC1YoA78C9WgmIa54F8sRspi08BIQAAAAAAABkQAAg=),
Wailing Banshee,WL(BQAAAACHj4A7Cxphg0LayX2LTaQBAAAI),
White Rider,WL(BQAAAADmP4A7MMGAgHIcD0jkKmGJOp8YBZsFhAAAAAAAAGUMACAA),
Wizard's Pipe,WL(BQAAAABRiYA75cUggYIcD0gkikgoMi2RSZqqVAEhAAAAAAAAGQMACA==),legendary,smg